"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"18108","725_2_H","725",2,"H",1,1,1,NA,NA,NA,1
"18109","725_2_I","725",2,"I",1.64055175759383,2.28110351518765,1,1.81133781696164,2.33696134820899,1.28571428571429,1.72594478727773
"18110","725_2_J","725",2,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"18111","725_2_K","725",2,"K",1.61947133494993,2.23894266989985,1,1.5831530913324,2.1663061826648,1,1.60131221314116
"18112","725_2_L","725",2,"L",1.79320464492947,2.58640928985893,1,1.44494078742115,1.88988157484231,1,1.61907271617531
"18113","725_2_M","725",2,"M",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"18114","725_2_N","725",2,"N",NA,NA,NA,NA,NA,NA,NA
"18115","725_2_O","725",2,"O",1.46890962043919,1.93781924087838,1,NA,NA,NA,1.46890962043919
"18116","725_2_P","725",2,"P",NA,NA,NA,NA,NA,NA,NA
"18117","725_2_Q","725",2,"Q",1.5,2,1,1,1,1,1.25
"18118","725_2_R","725",2,"R",1.11965771536453,1.23931543072907,1,1.69055078897615,2.3811015779523,1,1.40510425217034
"18119","725_2_S","725",2,"S",1.43587091532985,1.8717418306597,1,1.79730602971332,2.29798486781253,1.2966271916141,1.61658847252158
"18120","725_2_T","725",2,"T",1,1,1,1,1,1,1
"18121","725_2_V","725",2,"V",1,1,1,1.5,2,1,1.25
"18122","725_2_W","725",2,"W",1.22164482786735,1.44328965573469,1,1.62252527046382,1.44494078742115,1.80010975350649,1.42208504916558
"18123","725_2_X","725",2,"X",1,1,1,1,1,1,1
"18124","725_2_Y","725",2,"Y",1.52872122947803,2.05744245895607,1,1,1,1,1.26436061473902
"18125","725_2_Z","725",2,"Z",1.17806570669314,1.35613141338627,1,1.8747296369986,2.74945927399721,1,1.52639767184587
"18126","726_2_C","726",2,"C",1.72688067816515,2.4537613563303,1,1,1,1,1.36344033908257
"18127","726_2_A","726",2,"A",1.2845962916071,1.5691925832142,1,1,1,1,1.14229814580355
"18128","726_2_B","726",2,"B",1.48614299004096,1.97228598008191,1,1.44494078742115,1.88988157484231,1,1.46554188873106
"18129","726_2_D","726",2,"D",1.70862505198086,2.41725010396172,1,1.4,1.8,1,1.55431252599043
"18130","726_2_E","726",2,"E",1,1,1,NA,NA,NA,1
"18131","726_2_F","726",2,"F",1.33652906337926,1.67305812675851,1,1.5,2,1,1.41826453168963
"18132","726_2_G","726",2,"G",1.26304513655707,1.52609027311415,1,1,1,1,1.13152256827854
"18133","726_2_H","726",2,"H",1,1,1,NA,NA,NA,1
"18134","726_2_I","726",2,"I",1.48487706282338,1.96975412564675,1,1.99833532235117,2.46274169979695,1.53392894490539,1.74160619258727
"18135","726_2_J","726",2,"J",1.93587294374629,2.87174588749259,1,NA,NA,NA,1.93587294374629
