"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"1705","69_1_E","69",1,"E",NA,NA,NA,NA,NA,NA,NA
"1706","69_1_F","69",1,"F",1,1,1,NA,NA,NA,1
"1707","69_1_G","69",1,"G",1,1,1,NA,NA,NA,1
"1708","69_1_H","69",1,"H",1.32469244423306,1.64938488846612,1,1.5,1,2,1.41234622211653
"1709","69_1_I","69",1,"I",1,1,1,1.5,2,1,1.25
"1710","69_1_J","69",1,"J",1.93587294374629,2.87174588749259,1,NA,NA,NA,1.93587294374629
"1711","69_1_K","69",1,"K",1.64406873756766,2.28813747513532,1,1.66696447245269,1.93392894490539,1.4,1.65551660501018
"1712","69_1_L","69",1,"L",1,1,1,1,1,1,1
"1713","69_1_M","69",1,"M",1,1,1,1,1,1,1
"1714","69_1_N","69",1,"N",NA,NA,NA,NA,NA,NA,NA
"1715","69_1_O","69",1,"O",1,1,1,NA,NA,NA,1
"1716","69_1_P","69",1,"P",NA,NA,NA,NA,NA,NA,NA
"1717","69_1_Q","69",1,"Q",NA,NA,NA,NA,NA,NA,NA
"1718","69_1_R","69",1,"R",1.12535918113911,1.25071836227823,1,1.69055078897615,2.3811015779523,1,1.40795498505763
"1719","69_1_S","69",1,"S",1,1,1,1.32469244423306,1.64938488846612,1,1.16234622211653
"1720","69_1_T","69",1,"T",1,1,1,NA,NA,NA,1
"1721","69_1_V","69",1,"V",1,1,1,1.5,2,1,1.25
"1722","69_1_W","69",1,"W",1,1,1,1,1,1,1
"1723","69_1_X","69",1,"X",1.7526741728056,2.5053483456112,1,1.58370559056587,1.66741118113173,1.5,1.66818988168573
"1724","69_1_Y","69",1,"Y",NA,NA,NA,NA,NA,NA,NA
"1725","69_1_Z","69",1,"Z",1,1,1,2,3,1,1.5
"1726","70_1_C","70",1,"C",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"1727","70_1_A","70",1,"A",NA,NA,NA,NA,NA,NA,NA
"1728","70_1_B","70",1,"B",1,1,1,1.34921661701159,1.69843323402318,1,1.1746083085058
"1729","70_1_D","70",1,"D",1,1,1,NA,NA,NA,1
"1730","70_1_E","70",1,"E",1,1,1,NA,NA,NA,1
"1731","70_1_F","70",1,"F",NA,NA,NA,NA,NA,NA,NA
"1732","70_1_G","70",1,"G",1,1,1,1,1,1,1
"1733","70_1_H","70",1,"H",1.93587294374629,2.87174588749259,1,NA,NA,NA,1.93587294374629
"1734","70_1_I","70",1,"I",1,1,1,1.5,2,1,1.25
"1735","70_1_J","70",1,"J",NA,NA,NA,NA,NA,NA,NA
"1736","70_1_K","70",1,"K",1.6352155020138,2.2704310040276,1,1.71689395284787,1.93378790569573,1.5,1.67605472743083
"1737","70_1_L","70",1,"L",1,1,1,1,1,1,1
"1738","70_1_M","70",1,"M",1,1,1,NA,NA,NA,1
"1739","70_1_N","70",1,"N",1,1,1,NA,NA,NA,1
"1740","70_1_O","70",1,"O",1,1,1,NA,NA,NA,1
"1741","70_1_P","70",1,"P",1,1,1,NA,NA,NA,1
"1742","70_1_Q","70",1,"Q",1,1,1,NA,NA,NA,1
"1743","70_1_R","70",1,"R",1.12535918113911,1.25071836227823,1,1.69055078897615,2.3811015779523,1,1.40795498505763
"1744","70_1_S","70",1,"S",1.44494078742115,1.88988157484231,1,2,2.5,1.5,1.72247039371058
"1745","70_1_T","70",1,"T",NA,NA,NA,NA,NA,NA,NA
