"","Gender","Genotype","Row","Galls.found","shootEst.all","shootEst.no18","plant.position","gall.id","gall.id.nest","g.id.unk","g.height","g.width","g.3meas","point.count","exit.size","gall.sp","gall_contents","value"
"138","f","I",13,1,332.220188326465,308.934486797842,562,"5.1","1325","","11","6.41","5.64","2",NA,"vLG","vLG.pupa","1"
"139","f","I",13,1,332.220188326465,308.934486797842,562,"5.4","1328","","6.97","5.92","5.87","1",NA,"vLG","vLG.pupa","1"
"140","f","I",14,1,159.16211687984,169.536599264642,619,"9","1331","","7.57","4.22","4.49",NA,NA,"vLG","vLG.pupa","1"
"141","m","O",8,1,206.79034976002,209.880024788393,323,"8","1350","","6.97","5.31","4.42","1",NA,"vLG","vLG.pupa","1"
"142","f","I",9,1,141.246786362241,153.806225370539,365,"3.1","1355","","12.64","7.22","5.33","3",NA,"vLG","vLG.pupa","4"
"143","f","I",9,1,141.246786362241,153.806225370539,365,"3.2","1356","","6.14","3.37","2.78","1",NA,"vLG","vLG.pupa","1"
"144","f","L",12,1,268.281952968928,259.516833839203,535,"2","1384","","10.74","12.39","6.9","4",NA,"vLG","vLG.pupa","3"
"145","m","S",8,1,376.093519295734,341.817202184173,326,"7","1396","","15.94","12.03","6.21","4",NA,"vLG","vLG.pupa","4"
"146","f","V",6,1,445.058388306984,392.120632978501,270,"2","1420","","7.29","6.25","5.54","3",NA,"vLG","vLG.pupa","1"
"147","f","V",6,1,445.058388306984,392.120632978501,270,"8","1425","","7.66","3.56","2.78","1",NA,"vLG","vLG.pupa","1"
"148","m","D",2,1,104.50936915315,120.308286862188,52,"1","1441","","8.92","4.83",NA,NA,NA,"vLG","vLG.pupa","1"
"149","m","Z",12,1,272.522347312929,262.856795256746,510,"1.1","1457","","7.48","6.84",NA,"1",NA,"vLG","vLG.pupa","4"
"150","m","Z",12,1,272.522347312929,262.856795256746,510,"1.4","1460","","9.39","11.21","6.34","3",NA,"vLG","vLG.pupa","1"
"151","m","Z",2,1,370.72387277127,337.832370852061,86,"2","4","","7.19","6.69",NA,NA,NA,"rG","rG.larv","1"
"152","f","F",6,1,370.72387277127,337.832370852061,231,"3","6","","5.2","5.97",NA,NA,NA,"rG","rG.larv","1"
"153","f","F",6,1,370.72387277127,337.832370852061,231,"4","9","","3.88","3.76",NA,NA,NA,"rG","rG.larv","1"
"154","f","F",6,1,370.72387277127,337.832370852061,231,"8","11","","3.4","1.94",NA,NA,NA,"rG","rG.larv","1"
"155","m","B",9,1,50.0542414965502,66.0067301328162,368,"1.3","17","","7.35","4.18",NA,NA,NA,"rG","rG.larv","1"
"156","m","B",9,1,50.0542414965502,66.0067301328162,368,"2","18","","6.09","5.36",NA,NA,NA,"rG","rG.larv","1"
"157","m","B",9,1,50.0542414965502,66.0067301328162,368,"3","19","","5.26","6.05",NA,NA,NA,"rG","rG.larv","1"
"158","m","B",9,1,50.0542414965502,66.0067301328162,368,"4","20","","7.65","5.37",NA,NA,NA,"rG","rG.larv","1"
"159","m","B",9,1,50.0542414965502,66.0067301328162,368,"5","21","","6.99","6.86",NA,NA,NA,"rG","rG.larv","1"
"160","f","X",6,1,208.538239995587,211.325492357578,235,"16","26","","7.33","5.15",NA,NA,NA,"rG","rG.larv","1"
"161","f","X",6,1,208.538239995587,211.325492357578,235,"12","40","","5.95","7.27",NA,NA,NA,"rG","rG.larv","1"
"162","f","X",6,1,208.538239995587,211.325492357578,235,"9.1","50","","5.98","5.73",NA,NA,NA,"rG","rG.larv","1"
"163","f","X",6,1,208.538239995587,211.325492357578,235,"9.9","59","","5.3","3.66",NA,NA,NA,"rG","rG.larv","1"
"164","f","X",6,1,208.538239995587,211.325492357578,235,"9.101","60","","4.9","3.26",NA,NA,NA,"rG","rG.larv","1"
"165","f","L",8,1,424.061929221881,376.968893960722,352,"4","65","","7.59","5.37",NA,NA,NA,"rG","rG.larv","1"
"166","f","H",2,1,378.799571404938,343.821386659906,54,"10","73","","6.65","6.13",NA,NA,NA,"rG","rG.larv","1"
"167","f","H",2,1,378.799571404938,343.821386659906,54,"19","78","","7.26","5.74",NA,NA,NA,"rG","rG.larv","1"
"168","f","H",2,1,378.799571404938,343.821386659906,54,"4","84","","6.71","6.49",NA,NA,NA,"rG","rG.larv","1"
"169","f","A",6,1,395.336059994576,356.012245336634,232,"2","90","","5.88","3.53",NA,NA,NA,"rG","rG.larv","1"
"170","f","G",11,1,294.46373095663,279.989758500388,469,"1","103","","10.46","11.76",NA,NA,NA,"rG","rG.larv","1"
"171","f","G",11,1,294.46373095663,279.989758500388,469,"5","107","","9.38","5.82",NA,NA,NA,"rG","rG.larv","1"
"172","m","K",11,1,329.762020607988,307.069222821287,471,"12","121","","7.95","6",NA,NA,NA,"rG","rG.larv","1"
"173","f","R",8,1,210.296913073928,212.777622099435,346,"3","156","","7.72","5.62",NA,NA,NA,"rG","rG.larv","1"
"174","m","S",9,1,12.2310106205763,23.7493780406934,373,"3.1","166","","6.46","3.94",NA,NA,NA,"rG","rG.larv","2"
"175","m","S",9,1,12.2310106205763,23.7493780406934,373,"3.3","168","","7.72","4.21",NA,NA,NA,"rG","rG.larv","1"
"176","m","S",9,1,12.2310106205763,23.7493780406934,373,"5.1","170","","4.1","2.83",NA,NA,NA,"rG","rG.larv","1"
"177","m","S",9,1,12.2310106205763,23.7493780406934,373,"5.4","173","","5.41","2.97",NA,NA,NA,"rG","rG.larv","1"
"178","m","S",9,1,12.2310106205763,23.7493780406934,373,"5.7","176","","5.78","2.87",NA,NA,NA,"rG","rG.larv","1"
"179","m","S",9,1,12.2310106205763,23.7493780406934,373,"7.2","179","","5.75","3.9",NA,NA,NA,"rG","rG.larv","1"
"180","m","S",9,1,12.2310106205763,23.7493780406934,373,"8","180","","12.05","6.23",NA,NA,NA,"rG","rG.larv","1"
"181","m","S",9,1,12.2310106205763,23.7493780406934,373,"10","184","","8.21","5.13",NA,NA,NA,"rG","rG.larv","1"
"182","m","S",9,1,12.2310106205763,23.7493780406934,373,"11.4","188","","5.73","3.18",NA,NA,NA,"rG","rG.larv","1"
"183","m","D",5,1,138.627779860107,151.476680974632,207,"5","199","","7.92","7.05",NA,NA,NA,"rG","rG.larv","1"
"184","m","D",5,1,138.627779860107,151.476680974632,207,"2","200","","4.8","4.27",NA,NA,NA,"rG","rG.larv","1"
