"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"20123","805_4_X","805",4,"X",1.57512058313448,2.15024116626897,1,1.56067887929899,1.76461851382507,1.35673924477291,1.56789973121674
"20124","805_4_Y","805",4,"Y",2.01034155444716,3.02068310889431,1,1.26386601103962,1.23223549249333,1.29549652958591,1.63710378274339
"20125","805_4_Z","805",4,"Z",1.49827039455164,1.99654078910328,1,2.21997301041823,3.02923144783232,1.41071457300414,1.85912170248494
"20126","806_4_C","806",4,"C",1.95041396624924,2.90082793249848,1,1.30190614024133,1.60381228048266,1,1.62616005324528
"20127","806_4_A","806",4,"A",1.22878463249055,1.45756926498109,1,1,1,1,1.11439231624527
"20128","806_4_B","806",4,"B",1.49920010661543,1.99840021323086,1,1.5251515191312,1.71659744769653,1.33370559056587,1.51217581287331
"20129","806_4_D","806",4,"D",1.66453055493889,2.32906110987777,1,1.26191246275869,1.52382492551739,1,1.46322150884879
"20130","806_4_E","806",4,"E",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"20131","806_4_F","806",4,"F",1.58780580613672,2.17561161227344,1,2.04783176603764,2.71428571428571,1.38137781778956,1.81781878608718
"20132","806_4_G","806",4,"G",1.61591154657666,2.23182309315331,1,1,1,1,1.30795577328833
"20133","806_4_H","806",4,"H",1.68154168739993,2.36308337479987,1,1.5,1,2,1.59077084369997
"20134","806_4_I","806",4,"I",2.2679500715557,3.53590014311141,1,1.7688949423003,1.87678601382604,1.66100387077456,2.018422506928
"20135","806_4_J","806",4,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"20136","806_4_K","806",4,"K",1.66723024364983,2.33446048729966,1,2.55995165588203,3.72294376864346,1.39695954312061,2.11359094976593
"20137","806_4_L","806",4,"L",1.35454498682853,1.70908997365706,1,1.93587294374629,2.87174588749259,1,1.64520896528741
"20138","806_4_M","806",4,"M",1.33652906337926,1.67305812675851,1,1,1,1,1.16826453168963
"20139","806_4_N","806",4,"N",1,1,1,NA,NA,NA,1
"20140","806_4_O","806",4,"O",1.59806996049677,2.19613992099354,1,1,1,1,1.29903498024839
"20141","806_4_P","806",4,"P",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"20142","806_4_Q","806",4,"Q",1.82467556428105,2.6493511285621,1,1.66741118113173,1.66741118113173,1.66741118113173,1.74604337270639
"20143","806_4_R","806",4,"R",1.22216783896834,1.44433567793667,1,1.69055078897615,2.3811015779523,1,1.45635931397224
"20144","806_4_S","806",4,"S",1.61951362139749,2.23902724279499,1,2.07284015712194,2.64250341384167,1.50317690040222,1.84617688925972
"20145","806_4_T","806",4,"T",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"20146","806_4_V","806",4,"V",1.28974522360283,1.57949044720566,1,2.13668545395758,3.27337090791516,1,1.71321533878021
"20147","806_4_W","806",4,"W",1.2681085930502,1.53621718610039,1,1.74924033199851,1.8126723038486,1.68580836014842,1.50867446252435
"20148","806_4_X","806",4,"X",1.45945427529867,1.91890855059733,1,1.59260474826087,1.94094815112667,1.24426134539508,1.52602951177977
"20149","806_4_Y","806",4,"Y",1.78428380370778,2.56856760741556,1,1,1,1,1.39214190185389
"20150","806_4_Z","806",4,"Z",1.5,2,1,1.52483778219916,2.04967556439832,1,1.51241889109958
"20151","807_4_C","807",4,"C",1.84582948596535,2.69165897193069,1,1,1,1,1.42291474298267
"20152","807_4_A","807",4,"A",1.22878463249055,1.45756926498109,1,1,1,1,1.11439231624527
"20153","807_4_B","807",4,"B",1.63869928525086,2.27739857050172,1,1.43724370352755,1.54115407372176,1.33333333333333,1.5379714943892
"20154","807_4_D","807",4,"D",1.88561032150617,2.77122064301234,1,1.33333333333333,1.66666666666667,1,1.60947182741975
"20155","807_4_E","807",4,"E",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"20156","807_4_F","807",4,"F",1.70064460701774,2.40128921403548,1,1.44494078742115,1,1.88988157484231,1.57279269721945
"20157","807_4_G","807",4,"G",1.48199237666844,1.96398475333689,1,1,1,1,1.24099618833422
"20158","807_4_H","807",4,"H",2.1188002741058,3.23760054821159,1,1.5,1,2,1.8094001370529
"20159","807_4_I","807",4,"I",2.11485689110485,3.2297137822097,1,2.13412379022933,2.41745399523475,1.8507935852239,2.12449034066709
"20160","807_4_J","807",4,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"20161","807_4_K","807",4,"K",1.72217892648744,2.44435785297488,1,2.25724868444112,2.96578526260002,1.54871210628223,1.98971380546428
"20162","807_4_L","807",4,"L",1.41121071527281,1.82242143054562,1,1.93587294374629,2.87174588749259,1,1.67354182950955
"20163","807_4_M","807",4,"M",1,1,1,1,1,1,1
"20164","807_4_N","807",4,"N",NA,NA,NA,NA,NA,NA,NA
"20165","807_4_O","807",4,"O",1.37738267530166,1.75476535060332,1,NA,NA,NA,1.37738267530166
"20166","807_4_P","807",4,"P",1.97999903005521,2.95999806011041,1,1,1,1,1.4899995150276
"20167","807_4_Q","807",4,"Q",1.68154168739993,2.36308337479987,1,1.66666666666667,1.66666666666667,1.66666666666667,1.6741041770333
"20168","807_4_R","807",4,"R",1.21359884175912,1.42719768351825,1,1.69055078897615,2.3811015779523,1,1.45207481536764
"20169","807_4_S","807",4,"S",1.54848864543783,2.09697729087565,1,2.19988403368144,3.02238539206122,1.37738267530166,1.87418633955963
"20170","807_4_T","807",4,"T",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"20171","807_4_V","807",4,"V",1.13169062515136,1.26338125030273,1,2.35453964887768,3.70907929775537,1,1.74311513701452
"20172","807_4_W","807",4,"W",1.2681085930502,1.53621718610039,1,1.74924033199851,1.8126723038486,1.68580836014842,1.50867446252435
"20173","807_4_X","807",4,"X",1.56138570373979,2.12277140747959,1,1.91393894924028,2.44475252826472,1.38312537021585,1.73766232649004
"20174","807_4_Y","807",4,"Y",2.01034155444716,3.02068310889431,1,1.26386601103962,1.23223549249333,1.29549652958591,1.63710378274339
"20175","807_4_Z","807",4,"Z",1.31012265619132,1.62024531238264,1,1.96541550331404,2.49953652056903,1.43129448605904,1.63776907975268
"20176","808_4_C","808",4,"C",1.90996272939205,2.8199254587841,1,1.40005487675325,1.80010975350649,1,1.65500880307265
