"","Genotype","plant.position","vLG","rsLG","SG","PG","Total_Area","Height","Density","D_mean_smoothed","Trichome.No.","Soluble.condensed.tannins","Insoluble.condensed.tannins","diglucoside.of.SaOH__A220nm","salicin__A220nm","gentisic.acid__A220nm","neochlorogenic.acid__A320nm","p.OH.cinnamic.acid.der1__A320nm","p.OH.cinnamic.acid.der2__A320nm","chlorogenic.acid__A320nm","ampelopsin__A320nm","p.OH.cinnamic.acid__A320nm","salicortin__A270nm","cinnamic.acid.der1__A270nm","ampelopsin.der__A320nm","luteolin.glucoside.5.glu.__A320nm","myricitrin__A320nm","luteolin.glucoside.7.gluc.__A320nm","cinnamic.acid.der2__A270nm","eriodictyol.7.glucoside__A270nm","luteolin.glycoside.der1__A320nm","methylluteolin.glycoside.__A320nm","luteolin.glycoside.der2__A320nm","quercetin.der1__A320nm","luteolin.der1__A320nm","quercetin.der2__A320nm","luteolin.der2__A320nm","cinnamic.acid.der3__A270nm","tremulacin__A220nm","cinnamoyl.salicortin__A270nm","disalicortin__A270nm","HCH.tremulacin.__A220nm","Nitrogen","Carbon","C_N_ratio","water_content","specific_leaf_area","C_imputed","N_imputed","C_N_imputed","sal_tannin.PC1","cinn.PC1","cinn.PC2","flavonOLES.PC1","flavonOLES.PC2","flavanonOLES.PC1"
"27","R",247,2,0,0,0,1.01703709839409,2.92090505625064,0.2859,1.7665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.111562348,1.2088635922,40.2915967181854,NA,NA,NA,NA,NA,NA
"28","B",249,6,0,0,0,1.14815017625865,2.13878599525224,0.3968,1.7673,6.36363636363636,239.813,77.397,0.362,2.828,0.301,0.137,0.099,0.153,24.436,0.261,0.674,130.496,0.387,6.329,1.464,1.076,3.444,0,8.506,0.286,5.907,0.674,0,2.339,0,0.928,0.464,96.504,0,0,0,0.874943554,48.12117767,54.9991796042194,1.82553191489362,10.5876595744681,48.228001275,0.949053893666667,51.3820353038341,-1.22594453584483,-1.15239427285841,-2.34044088177994,-1.70272929124761,0.681335460954296,1.18275367169685
"29","B",250,15,0,0,0,1.33254281969836,2.02066537460292,0.4135,1.7726,0.909090909090909,265.795,84.031,0.504,2.858,0.208,0.198,0.134,0.222,29.805,0.264,0.821,124.66,0.464,3.12,1.668,1.346,3.969,0,4.409,0.338,6.308,0.969,0,2.53,0,0.849,0.593,86.423,0,0,0.712,1.025908709,46.90270233,45.7182027197315,1.78151260504202,9.98263305322129,48.228001275,0.949053893666667,51.3820353038341,-1.59489274127733,-1.01318711624926,-2.48686543509863,-1.81025287162723,0.543434323452877,0.480699227516775
"30","Q",253,0,0,0,0,1.3548162873766,2.16860285095013,0.4225,1.7972,20.9090909090909,323.702,58.472,0.246,1.57,0.091,1.657,0.905,0.195,31.444,0.464,1.288,57.642,0.205,6.09,2.121,0.357,4.03,0,15.272,0.444,6.563,0.095,0,0.92,0,0.312,0,29.034,0,0,1.324,NA,NA,NA,2.07022471910112,10.7474719101124,49.360918045,1.127515167,43.873397689227,0.686965669584766,-1.15069340266678,-1.62711070862555,-1.30487891712541,-1.75091364934635,1.68189525163622
"31","I",255,1,2,0,0,0.978919956582662,2.00575694675398,0.4472,1.7827,1.81818181818182,323.245,46.878,0.371,2.727,0.224,4.682,1.254,0.23,14.709,2.13,0.225,41.817,0.921,2.548,1.415,0.63,3.856,0,8.601,0.703,8.017,0,0,1.658,0,0.67,1.116,13.089,0,0,0.665,1.230738759,47.66141891,38.7258616513596,1.52173913043478,11.4384057971014,48.565077972,1.144735384,42.7304085123588,0.823180064202607,-0.0985491783305674,0.513462790044104,-2.50557692342717,-1.65224223676143,1.38509075594835
"32","F",257,16,1,0,0,2.3337099408562,2.28557666945722,0.4684,1.8209,0,329.706,85.988,0.265,1.65,0.162,0.447,0.194,0.302,33.506,3.081,0.81,53.27,0.786,5.195,1.733,1.492,2.354,0,10.976,0.546,9.188,0,0,1.586,0,1.073,0,20.786,0,0,1.908,NA,NA,NA,1.76744186046512,9.55232558139535,47.827425384,0.8790121316,54.8639562560522,0.159430841216981,-1.35409075544471,-2.15003179518909,-2.52829614965858,-0.771460195481472,2.07991968593897
"33","D",259,10,0,0,0,2.61855676522406,2.80851844631246,0.3679,1.8167,0,270.825,54.516,0.231,2.656,0.624,0.274,0.098,0.524,24.227,2.44,0.671,150.469,0.249,1.774,1.447,0.51,2.864,0,7.573,0.303,4.739,0.518,0,1.704,0,0.345,0.852,116.514,0,0,15.337,NA,NA,NA,1.71315789473684,11.5931578947368,49.675281524,0.8330973388,60.3955692129545,-1.30636760923637,-0.425379682413952,-3.07095603893518,-0.453558285481239,0.284223404634175,1.25088631272041
"34","X",260,0,0,0,0,1.87735504808663,2.77640798633012,0.3918,1.7676,10,353.367,44.789,0.104,0.132,0,6.409,2.312,0.212,24.424,0,0.602,0,0,0,1.105,2.013,2.64,0,0,0.156,4.264,0.352,0.185,0.766,0,0.205,0,0,0,0,0,NA,NA,NA,1.54684095860566,7.38976034858388,48.502789306,0.9589180112,50.7801486486287,3.75619202908001,-1.01659719038205,0.807984979200241,2.19425005732549,-0.789534981229464,-1.60184226987832
"35","D",262,7,1,0,0,2.38769574474873,2.46562460578676,0.3748,1.8333,0.909090909090909,487.447,45.844,0.112,0.364,0.134,0,0.083,0.189,20.748,4.266,1.138,3.899,0,4.115,2.106,0.485,2.502,0,8.613,0.39,3.715,0.527,0,1.367,0,0.262,0,0.197,0,0,0,NA,NA,NA,1.55263157894737,8.41947368421053,49.675281524,0.8330973388,60.3955692129545,3.69875051884636,-1.69184837501509,-2.22571324414399,-0.214508575066664,0.666053923907939,2.01352497171114
"36","M",267,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","*",268,3,0,0,0,2.77635828661687,2.66172777210748,0.4759,1.8385,0,380.492,48.815,0.061,0,0,6.118,1.497,2.02,11.239,0,0.233,0,2.976,0,0.895,1.57,2.361,0,0,0.099,3.779,0.455,0.289,0.694,1.09,0.158,0,0,0,0,0,NA,NA,NA,1.9400826446281,10.9981404958678,48.780740358,0.9150824786,53.3981372541112,4.16076160159328,0.0538442835507367,1.78590498855551,3.74330182600772,-1.06610259710225,-1.60184226987832
"38","S",269,13,0,0,0,2.20856635223299,2.63764492712072,0.4891,1.8238,4.54545454545454,270.666,70.431,0.318,4.24,0,6.729,1.532,0.144,19.998,0,0.302,206.524,0,0,1.497,2.053,3.459,0,0,0.381,5.099,0.138,0,1.484,0,0.314,0,64.282,0,4,31.003,NA,NA,NA,1.9125,13.2579166666667,48.706655122,0.8022036196,61.4420960176138,-3.16413144548784,-1.28771118201441,1.30295069762296,-0.246552164447938,-0.607085358897023,-1.60184226987832
