"","Genotype","plant.position","vLG","rsLG","SG","PG","Total_Area","Height","Density","D_mean_smoothed","Trichome.No.","Soluble.condensed.tannins","Insoluble.condensed.tannins","diglucoside.of.SaOH__A220nm","salicin__A220nm","gentisic.acid__A220nm","neochlorogenic.acid__A320nm","p.OH.cinnamic.acid.der1__A320nm","p.OH.cinnamic.acid.der2__A320nm","chlorogenic.acid__A320nm","ampelopsin__A320nm","p.OH.cinnamic.acid__A320nm","salicortin__A270nm","cinnamic.acid.der1__A270nm","ampelopsin.der__A320nm","luteolin.glucoside.5.glu.__A320nm","myricitrin__A320nm","luteolin.glucoside.7.gluc.__A320nm","cinnamic.acid.der2__A270nm","eriodictyol.7.glucoside__A270nm","luteolin.glycoside.der1__A320nm","methylluteolin.glycoside.__A320nm","luteolin.glycoside.der2__A320nm","quercetin.der1__A320nm","luteolin.der1__A320nm","quercetin.der2__A320nm","luteolin.der2__A320nm","cinnamic.acid.der3__A270nm","tremulacin__A220nm","cinnamoyl.salicortin__A270nm","disalicortin__A270nm","HCH.tremulacin.__A220nm","Nitrogen","Carbon","C_N_ratio","water_content","specific_leaf_area","C_imputed","N_imputed","C_N_imputed","sal_tannin.PC1","cinn.PC1","cinn.PC2","flavonOLES.PC1","flavonOLES.PC2","flavanonOLES.PC1"
"147","R",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.345994711,45.72793579,33.9733398774106,NA,NA,48.111562348,1.2088635922,40.2915967181854,NA,NA,NA,NA,NA,NA
"148","V",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016519189,49.30664825,48.5053787312224,NA,NA,48.9050852416667,1.00643783816667,49.0621774512822,NA,NA,NA,NA,NA,NA
"149","X",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.074469447,48.89138412,45.5028146742641,NA,NA,48.502789306,0.9589180112,50.7801486486287,NA,NA,NA,NA,NA,NA
"150","N",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.862267315,49.10038376,56.9433433296727,NA,NA,47.99968338,1.0214545368,48.0055005411854,NA,NA,NA,NA,NA,NA
"151","O",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.830458403,49.09441376,59.1172460687354,NA,NA,48.354571532,0.8884563446,54.959938276439,NA,NA,NA,NA,NA,NA
"152","J",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.266930103,49.721241,39.2454492021807,NA,NA,49.128264618,1.1675513266,42.229903922324,NA,NA,NA,NA,NA,NA
"153","L",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815279901,49.35414505,60.5364427474093,NA,NA,49.282575226,0.8306997418,60.1190874362029,NA,NA,NA,NA,NA,NA
"154","S",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914056242,48.48579407,53.044650692293,NA,NA,48.706655122,0.8022036196,61.4420960176138,NA,NA,NA,NA,NA,NA
"155","R",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.355987906,49.22560501,36.3023923680924,NA,NA,48.111562348,1.2088635922,40.2915967181854,NA,NA,NA,NA,NA,NA
"156","Y",68,NA,NA,NA,NA,NA,NA,NA,NA,34.5454545454545,178.253,79.676,0.037,4.748,0.229,6.77,3.732,1.246,18.386,0,0.637,205.356,57.827,0.308,0.829,1.209,1.838,4.492,1.739,0,5.552,0.551,0.499,0.804,0.917,0.285,5.522,55.289,4.193,5.528,20.55,1.163689613,50.52134323,43.4147926264939,2.59826589595376,11.3791907514451,49.428104402,1.0590504764,46.8915922931631,-3.49777745640432,5.35076940024073,-0.319132354923387,3.65864082942571,-1.18377593944115,-0.78790486594346
"157","*",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.922445059,49.47063065,53.6298939078604,NA,NA,48.780740358,0.9150824786,53.3981372541112,NA,NA,NA,NA,NA,NA
"158","B",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.846411169,48.45539474,57.2480568719905,NA,NA,48.228001275,0.949053893666667,51.3820353038341,NA,NA,NA,NA,NA,NA
"159","H",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.195281029,48.94684219,40.950070320241,NA,NA,49.003610992,1.089426303,45.3411144993612,NA,NA,NA,NA,NA,NA
"160","B",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.962697387,48.78489304,50.675210817831,NA,NA,48.228001275,0.949053893666667,51.3820353038341,NA,NA,NA,NA,NA,NA
"161","U",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.167468309,48.85222626,41.8445844597226,NA,NA,49.005563356,1.0754945874,45.9622379121635,NA,NA,NA,NA,NA,NA
"162","P",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09719491,49.05954361,44.713608459959,NA,NA,47.621665192,0.8662799836,55.8951439797141,NA,NA,NA,NA,NA,NA
"163","R",118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.211142302,49.02200699,40.4758440928439,NA,NA,48.111562348,1.2088635922,40.2915967181854,NA,NA,NA,NA,NA,NA
"164","F",119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.005671382,48.17422485,47.902551183464,NA,NA,47.827425384,0.8790121316,54.8639562560522,NA,NA,NA,NA,NA,NA
"165","V",139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997420371,47.97430038,48.0983763464763,NA,NA,48.9050852416667,1.00643783816667,49.0621774512822,NA,NA,NA,NA,NA,NA
"166","W",143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04931581,49.35661697,47.0369516018252,NA,NA,49.489682768,0.9449272872,52.768762561283,NA,NA,NA,NA,NA,NA
"167","D",147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.902157426,50.17103958,55.6122890906625,NA,NA,49.675281524,0.8330973388,60.3955692129545,NA,NA,NA,NA,NA,NA
"168","T",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.447329283,48.62173843,33.5941095099089,NA,NA,48.246979524,1.2887554406,37.8304084125129,NA,NA,NA,NA,NA,NA
"169","Y",157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.074694633,49.08062363,45.6693670210224,NA,NA,49.428104402,1.0590504764,46.8915922931631,NA,NA,NA,NA,NA,NA
"170","T",165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.396407008,48.59039688,34.7967294647092,NA,NA,48.246979524,1.2887554406,37.8304084125129,NA,NA,NA,NA,NA,NA
"171","L",188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965646863,48.52301407,50.2492328502495,NA,NA,49.282575226,0.8306997418,60.1190874362029,NA,NA,NA,NA,NA,NA
"172","B",193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.119589329,48.01380539,42.885193835212,NA,NA,48.228001275,0.949053893666667,51.3820353038341,NA,NA,NA,NA,NA,NA
"173","H",210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01669991,49.29457474,48.4848815812328,NA,NA,49.003610992,1.089426303,45.3411144993612,NA,NA,NA,NA,NA,NA
"174","T",217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.330350518,47.63778687,35.8084476425182,NA,NA,48.246979524,1.2887554406,37.8304084125129,NA,NA,NA,NA,NA,NA
"175","K",229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92962265,47.74980164,51.3647141020069,NA,NA,48.791540528,0.8343053222,59.1622887824581,NA,NA,NA,NA,NA,NA
"176","J",241,NA,NA,NA,NA,1.19941492413877,2.18236447665684,0.4604,1.795,11.8181818181818,401.972,52.498,0.389,2.624,0.241,7.234,2.659,0.219,31.278,0,0.639,96.915,0.691,0,1.214,0.853,2.383,0,0,0.342,5.527,0,0,1.391,0,0.496,0,54.218,0,0,2.682,NA,NA,NA,1.87573964497041,10.4437869822485,49.128264618,1.1675513266,42.229903922324,-0.0168242469259323,-0.485766031313553,-0.0551545074916417,-0.837963108340479,-0.507632606337071,-1.60184226987832
"177","Z",263,NA,NA,NA,NA,NA,NA,NA,NA,0.909090909090909,311.042,59.639,0.322,3.765,0.229,0.271,0.172,0.858,9.083,0,0.347,153.993,0.548,0.249,1.307,0.465,2.409,0,1.38,0.68,6.559,0,0,1.827,0,0.65,0.431,58.956,0,2.394,17.798,0.73585701,48.8281517,66.35548895566,1.71492204899777,10.2044543429844,48.995640564,0.7646745206,64.1227205054078,-2.0133850477868,-0.812166287237983,-0.5964388828166,-2.03374066229837,-0.465094822375945,-0.874496680466065
"178","X",278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93246603,48.56212616,52.0792442808882,NA,NA,48.502789306,0.9589180112,50.7801486486287,NA,NA,NA,NA,NA,NA
"179","U",283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.073630452,48.87949371,45.5272981675822,NA,NA,49.005563356,1.0754945874,45.9622379121635,NA,NA,NA,NA,NA,NA
"180","O",284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.971262991,47.85526276,49.2711687806912,NA,NA,48.354571532,0.8884563446,54.959938276439,NA,NA,NA,NA,NA,NA
"181","Z",291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.760690391,48.57468033,63.8560456457771,NA,NA,48.995640564,0.7646745206,64.1227205054078,NA,NA,NA,NA,NA,NA
"182","J",298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.110972643,48.30593491,43.4807600478421,NA,NA,49.128264618,1.1675513266,42.229903922324,NA,NA,NA,NA,NA,NA
"183","U",305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.043881536,49.27684784,47.2054022804365,NA,NA,49.005563356,1.0754945874,45.9622379121635,NA,NA,NA,NA,NA,NA
"184","N",311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.074302673,45.93918228,42.7618616564682,NA,NA,47.99968338,1.0214545368,48.0055005411854,NA,NA,NA,NA,NA,NA
"185","X",314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909451008,47.81302261,52.5735000449854,NA,NA,48.502789306,0.9589180112,50.7801486486287,NA,NA,NA,NA,NA,NA
"186","S",317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69825983,48.64335251,69.6636845198441,NA,NA,48.706655122,0.8022036196,61.4420960176138,NA,NA,NA,NA,NA,NA
"187","H",321,NA,NA,NA,NA,NA,NA,NA,NA,0,265.15,78.661,0.269,3.311,0,9.464,7.239,0.089,5.795,0,0.38,146.579,0,0.414,3.155,0.695,2.205,0,0.611,0.874,4.598,0.458,0,2.23,0,0.736,0,67.4,0,1.66,10.128,1.071518779,48.14204788,44.928795298323,2.04484304932735,11.032735426009,49.003610992,1.089426303,45.3411144993612,-2.0998674408399,-0.630573575069168,3.52986269322711,-2.36305875130122,1.58851048462969,-0.964389698731879
"188","A",327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067739487,48.25499344,45.1936020232621,NA,NA,49.11685562,1.0307981968,47.8206873923494,NA,NA,NA,NA,NA,NA
"189","M",330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.039008856,48.06566238,46.2610709258478,NA,NA,48.255345916,1.1406139614,42.5136593252806,NA,NA,NA,NA,NA,NA
"190","P",333,NA,NA,NA,NA,NA,NA,NA,NA,2.72727272727273,345.922,47.951,0.186,0.689,0,10.787,2.716,0.093,12.169,0,0.301,15.868,0.222,0,0.579,0.871,4.393,0,0,0.261,6.508,0.373,0,0.471,0,0.24,0,4.95,0,0,0,0.734139919,48.38402176,65.9057224757724,2.53333333333333,14.3422222222222,47.621665192,0.8662799836,55.8951439797141,2.4193461781768,-0.94539637873289,2.38388741626645,0.842441544648356,-2.23167699455471,-1.60184226987832
"191","S",340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.704486907,48.62702942,69.0247454378879,NA,NA,48.706655122,0.8022036196,61.4420960176138,NA,NA,NA,NA,NA,NA
"192","T",343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.107347488,47.50427628,42.8991592926249,NA,NA,48.246979524,1.2887554406,37.8304084125129,NA,NA,NA,NA,NA,NA
"193","M",351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.149425149,48.18804932,41.9236079547447,NA,NA,48.255345916,1.1406139614,42.5136593252806,NA,NA,NA,NA,NA,NA
"194","Q",359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.115190983,48.70135498,43.6708651006013,NA,NA,49.360918045,1.127515167,43.873397689227,NA,NA,NA,NA,NA,NA
"195","V",360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.945853233,48.81957626,51.6143250947687,NA,NA,48.9050852416667,1.00643783816667,49.0621774512822,NA,NA,NA,NA,NA,NA
"196","G",371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.931864202,48.69493866,52.2554021878823,NA,NA,49.346783448,0.956262064,51.8372748822095,NA,NA,NA,NA,NA,NA
"197","D",385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821068525,49.72036362,60.5556809280931,NA,NA,49.675281524,0.8330973388,60.3955692129545,NA,NA,NA,NA,NA,NA
"198","Z",390,NA,NA,NA,NA,NA,NA,NA,NA,3.63636363636364,381.003,60.868,0.313,4.373,0.254,0.156,0.124,1.182,10.445,0,0.38,130.391,0.433,0.524,1.367,0.382,2.374,0,1.814,0.434,7.088,0,0,1.689,0,0.712,0,47.093,0,0,7.007,0.750710547,48.87292099,65.102217073287,1.67942583732057,9.93421052631579,48.995640564,0.7646745206,64.1227205054078,-0.753817831272605,-1.09221013555667,-0.825250903011435,-2.02198083116907,-0.604378862494872,-0.693127707177155
"199","E",395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955925107,47.01559448,49.1833451550928,NA,NA,48.2286357875,1.02753892525,47.0171702640956,NA,NA,NA,NA,NA,NA
"200","L",409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794168293,49.25972366,62.0268072827732,NA,NA,49.282575226,0.8306997418,60.1190874362029,NA,NA,NA,NA,NA,NA
"201","M",418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.197049737,49.10799026,41.0241853300704,NA,NA,48.255345916,1.1406139614,42.5136593252806,NA,NA,NA,NA,NA,NA
"202","M",419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.054552794,47.39967728,44.9476570065396,NA,NA,48.255345916,1.1406139614,42.5136593252806,NA,NA,NA,NA,NA,NA
"203","B",421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.864773214,49.09003448,56.7663679740201,NA,NA,48.228001275,0.949053893666667,51.3820353038341,NA,NA,NA,NA,NA,NA
"204","E",424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.093450665,48.66767502,44.5083409593061,NA,NA,48.2286357875,1.02753892525,47.0171702640956,NA,NA,NA,NA,NA,NA
"205","Q",439,NA,NA,NA,NA,NA,NA,NA,NA,1.81818181818182,316.836,55.625,0.287,2.48,0.226,1.961,0.928,0.42,31.259,0.493,1.236,123.224,0.346,7.515,1.977,0.324,3.553,0,19.6,0.275,6.596,0.283,0,0.77,0,0.345,0.281,80.309,0,0,7.889,1.142586827,49.00685501,42.8911430203282,1.84084880636605,10.1331564986737,49.360918045,1.127515167,43.873397689227,-0.694630350121067,-0.547413130431941,-1.97582478767203,-0.786208675976088,-1.36679357457169,2.04385146374187
"206","N",444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975401282,47.79021072,48.995435624207,NA,NA,47.99968338,1.0214545368,48.0055005411854,NA,NA,NA,NA,NA,NA
"207","F",445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.850215852,48.59464264,57.1556535033882,NA,NA,47.827425384,0.8790121316,54.8639562560522,NA,NA,NA,NA,NA,NA
"208","R",449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.039777398,48.6506691,46.7895043627405,NA,NA,48.111562348,1.2088635922,40.2915967181854,NA,NA,NA,NA,NA,NA
"209","U",451,NA,NA,NA,NA,NA,NA,NA,NA,0,239.779,68.737,0.255,3.024,0.141,6.255,4.301,0.172,33.779,0,1.532,128.153,0.673,0,1.193,1.678,1.737,0,0,1.302,4.386,0.679,0,0.761,0.148,0.292,0,108.933,0,2.036,16.242,NA,NA,NA,2.65734265734266,12.2356643356643,49.005563356,1.0754945874,45.9622379121635,-2.31918215890591,-0.228850511264657,-0.629925294847878,1.03771218386898,0.455496575185926,-1.60184226987832
"210","M",453,NA,NA,NA,NA,NA,NA,NA,NA,0,77.996,45.2,0.497,5.875,0.19,3.189,2.326,0.913,13.839,0,0.593,104.338,21.919,0,2.255,0.629,4.142,1.439,0.485,0.305,5.973,0.114,0,2.459,0,0.576,2.127,88.701,3.032,6.637,14.937,NA,NA,NA,2.08860759493671,13.2107594936709,48.255345916,1.1406139614,42.5136593252806,-4.30904059489219,2.84996562232193,-0.157094376180591,-2.39833696968343,-0.430701072326605,-1.31645189428087
"211","B",454,NA,NA,NA,NA,NA,NA,NA,NA,0,369.521,63.285,0.315,2.231,0.18,0.137,0.087,0.228,36.297,0.344,0.816,116.281,0.357,5.261,1.599,1.069,2.706,0,6.561,0,5.312,0.548,0,2.163,0,0.943,0.584,63.539,0,0,0.744,NA,NA,NA,2.33229813664596,11.2121118012422,48.228001275,0.949053893666667,51.3820353038341,-0.144166325290644,-1.11720834853424,-2.67789645664536,-0.911673756390815,1.11295818779521,0.979540159663358
